Dataset,LLM,Method,R@1,R@5,R@10,R@100,Mean_Rank,Median_Rank,MRR,Improvement_Rate,No_Degradation_Rate,Degradation_Rate,Absolute_Amelioration,Relative_Amelioration,Absolute_Progression_Mean,Absolute_Progression_Median,Absolute_Relative_Progression_Mean,Absolute_Relative_Progression_Median,Absolute_Amelioration_Mean,Absolute_Amelioration_Median,Absolute_Degradation_Mean,Absolute_Degradation_Median,Absolute_Progression_Mean.1,Absolute_Progression_Median.1,Absolute_Relative_Progression_Mean.1,Absolute_Relative_Progression_Median.1,Absolute_Amelioration_Mean.1,Absolute_Amelioration_Median.1,Absolute_Degradation_Mean.1,Absolute_Degradation_Median.1,Raw_Progression_Mean,Raw_Progression_Median,Raw_Relative_Progression_Mean,Raw_Relative_Progression_Median,Raw_Amelioration_Mean,Raw_Amelioration_Median,Raw_Degradation_Mean,Raw_Degradation_Median,Mean_Log_Rank_Ratio
COCO,mistral:7b,Baseline,0.000000,0.022000,0.037000,0.102000,495.877000,499.500000,0.014378,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
COCO,mistral:7b,Structured,0.007000,0.031000,0.047000,0.178000,856.938000,487.500000,0.023026,0.455000,0.462000,0.538000,254.292308,0.499011,592.467000,266.500000,1.453915,0.648126,254.292308,207.000000,886.178439,400.000000,-361.061000,-21.000000,-0.999815,-0.102766,254.292308,207.000000,-886.178439,-400.000000,-361.061000,-21.000000,-0.999815,-0.102766,254.292308,207.000000,-886.178439,-400.000000,-0.032858
COCO,mistral:7b,Unstructured,0.004000,0.018000,0.030000,0.148000,1059.844000,571.500000,0.014941,0.393000,0.397000,0.603000,243.969466,0.460920,755.727000,274.000000,1.954804,0.675016,243.969466,187.000000,1094.273632,374.000000,-563.967000,-80.500000,-1.592520,-0.295063,243.969466,187.000000,-1094.273632,-374.000000,-563.967000,-80.500000,-1.592520,-0.295063,243.969466,187.000000,-1094.273632,-374.000000,-0.341218
COCO,gemma3:4b,Baseline,0.000000,0.022000,0.037000,0.102000,495.877000,499.500000,0.014378,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
COCO,gemma3:4b,Structured,0.007000,0.023000,0.035000,0.168000,863.627000,492.000000,0.020071,0.459000,0.470000,0.530000,242.154684,0.474473,590.048000,239.000000,1.406041,0.599878,242.154684,181.000000,903.583019,317.500000,-367.750000,-11.000000,-0.970475,-0.080593,242.154684,181.000000,-903.583019,-317.500000,-367.750000,-11.000000,-0.970475,-0.080593,242.154684,181.000000,-903.583019,-317.500000,-0.067120
COCO,gemma3:4b,Unstructured,0.002000,0.012000,0.027000,0.141000,833.907000,505.500000,0.013393,0.403000,0.436000,0.564000,224.312655,0.430420,518.826000,210.000000,1.340460,0.520780,224.312655,175.000000,759.624113,310.500000,-338.030000,-25.000000,-0.993542,-0.115537,224.312655,175.000000,-759.624113,-310.500000,-338.030000,-25.000000,-0.993542,-0.115537,224.312655,175.000000,-759.624113,-310.500000,-0.222166
COCO,gemma3:27b,Baseline,0.000000,0.022000,0.037000,0.102000,495.877000,499.500000,0.014378,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
COCO,gemma3:27b,Structured,0.007000,0.031000,0.040000,0.194000,672.022000,387.000000,0.022265,0.510000,0.515000,0.485000,246.411765,0.491171,427.485000,213.500000,1.046244,0.540440,246.411765,191.000000,622.298969,241.000000,-176.145000,3.500000,-0.545249,0.032436,246.411765,191.000000,-622.298969,-241.000000,-176.145000,3.500000,-0.545249,0.032436,246.411765,191.000000,-622.298969,-241.000000,0.186409
COCO,gemma3:27b,Unstructured,0.005000,0.022000,0.040000,0.177000,794.250000,439.500000,0.018388,0.467000,0.477000,0.523000,242.314775,0.476059,524.695000,237.500000,1.265421,0.582709,242.314775,194.000000,786.871893,310.000000,-298.373000,-7.500000,-0.820782,-0.040143,242.314775,194.000000,-786.871893,-310.000000,-298.373000,-7.500000,-0.820782,-0.040143,242.314775,194.000000,-786.871893,-310.000000,-0.008218
Flickr,mistral:7b,Baseline,0.000000,0.068228,0.112016,1.000000,48.837067,49.000000,0.052570,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
