Dataset,LLM,Baseline Rank,Total,Improvement Rate (%),Tie Rate (%),No Degradation Rate (%),Degradation Rate (%),Absolute Amelioration (avg),Relative Amelioration (avg)
COCO,mistral:7b,2,1000,43.4,39.2,82.6,17.4,1.0,0.5
COCO,mistral:7b,3,1000,41.199999999999996,28.799999999999997,70.0,30.0,1.633495145631068,0.5444983818770227
COCO,mistral:7b,4,1000,39.6,18.7,58.3,41.699999999999996,2.2196969696969697,0.5549242424242424
COCO,mistral:7b,5,1000,47.599999999999994,5.2,52.800000000000004,47.199999999999996,2.9600840336134455,0.592016806722689
COCO,gpt-oss:20b,2,1000,57.599999999999994,29.2,86.8,13.200000000000001,1.0,0.5
COCO,gpt-oss:20b,3,1000,69.19999999999999,14.899999999999999,84.1,15.9,1.6473988439306357,0.5491329479768786
COCO,gpt-oss:20b,4,1000,70.5,12.2,82.69999999999999,17.299999999999997,2.321985815602837,0.5804964539007093
COCO,gpt-oss:20b,5,1000,75.8,7.3,83.1,16.900000000000002,3.0369393139841687,0.6073878627968338
COCO,gemma3:4b,2,1000,80.2,16.400000000000002,96.6,3.4000000000000004,1.0,0.5
COCO,gemma3:4b,3,1000,46.400000000000006,15.6,62.0,38.0,1.6120689655172413,0.5373563218390806
COCO,gemma3:4b,4,1000,51.800000000000004,11.4,63.2,36.8,2.250965250965251,0.5627413127413128
COCO,gemma3:4b,5,1000,61.199999999999996,10.2,71.39999999999999,28.599999999999998,2.9820261437908497,0.5964052287581699
COCO,gemma3:27b,2,1000,22.900000000000002,68.8,91.7,8.3,1.0,0.5
COCO,gemma3:27b,3,1000,52.1,28.499999999999996,80.60000000000001,19.400000000000002,1.5201535508637236,0.5067178502879078
COCO,gemma3:27b,4,1000,70.19999999999999,11.799999999999999,82.0,18.0,2.2279202279202277,0.5569800569800569
COCO,gemma3:27b,5,1000,72.2,11.5,83.7,16.3,2.966759002770083,0.5933518005540166
Flickr,mistral:7b,2,1000,44.0,35.0,79.0,21.0,1.0,0.5
Flickr,mistral:7b,3,999,36.53653653653654,21.82182182182182,58.35835835835835,41.64164164164164,1.4657534246575343,0.4885844748858448
Flickr,mistral:7b,4,1000,39.4,15.6,55.00000000000001,45.0,2.1421319796954315,0.5355329949238579
Flickr,mistral:7b,5,979,42.18590398365679,4.085801838610827,46.27170582226762,53.72829417773238,2.9128329297820823,0.5825665859564164
Flickr,gpt-oss:20b,2,1000,54.50000000000001,29.299999999999997,83.8,16.2,1.0,0.5
Flickr,gpt-oss:20b,3,999,65.36536536536536,18.61861861861862,83.98398398398398,16.016016016016017,1.650842266462481,0.5502807554874936
Flickr,gpt-oss:20b,4,1000,69.39999999999999,11.700000000000001,81.10000000000001,18.9,2.3126801152737753,0.5781700288184438
Flickr,gpt-oss:20b,5,979,72.42083758937692,9.499489274770173,81.92032686414709,18.07967313585291,3.0465444287729198,0.609308885754584
Flickr,gemma3:4b,2,1000,91.3,7.000000000000001,98.3,1.7000000000000002,1.0,0.5
Flickr,gemma3:4b,3,999,44.44444444444444,9.90990990990991,54.35435435435435,45.645645645645644,1.5833333333333333,0.5277777777777778
Flickr,gemma3:4b,4,1000,55.400000000000006,7.3999999999999995,62.8,37.2,2.292418772563177,0.5731046931407943
Flickr,gemma3:4b,5,979,69.3564862104188,8.069458631256383,77.42594484167518,22.57405515832482,2.9086892488954343,0.5817378497790869
Flickr,gemma3:27b,2,1000,36.0,54.0,90.0,10.0,1.0,0.5
Flickr,gemma3:27b,3,999,53.753753753753756,28.02802802802803,81.78178178178179,18.21821821821822,1.6592178770949721,0.553072625698324
Flickr,gemma3:27b,4,1000,70.39999999999999,12.2,82.6,17.4,2.3323863636363638,0.5830965909090909
Flickr,gemma3:27b,5,979,70.68437180796732,11.031664964249234,81.71603677221655,18.283963227783453,2.959537572254335,0.5919075144508671
VizWiz,mistral:7b,2,999,54.95495495495496,23.523523523523522,78.47847847847848,21.52152152152152,1.0,0.5
VizWiz,mistral:7b,3,999,24.324324324324326,27.927927927927925,52.25225225225225,47.74774774774775,1.5020576131687242,0.5006858710562414
VizWiz,mistral:7b,4,871,29.850746268656714,21.125143513203216,50.97588978185993,49.02411021814007,2.042307692307692,0.510576923076923
VizWiz,mistral:7b,5,693,34.34343434343434,9.37950937950938,43.722943722943725,56.27705627705628,2.9873949579831933,0.5974789915966386
VizWiz,gpt-oss:20b,2,999,45.44544544544545,34.53453453453454,79.97997997997997,20.02002002002002,1.0,0.5
VizWiz,gpt-oss:20b,3,999,59.55955955955956,18.91891891891892,78.47847847847848,21.52152152152152,1.615126050420168,0.538375350140056
VizWiz,gpt-oss:20b,4,871,63.375430539609646,12.169919632606199,75.54535017221585,24.454649827784156,2.3043478260869565,0.5760869565217391
VizWiz,gpt-oss:20b,5,693,68.25396825396825,9.235209235209235,77.48917748917748,22.51082251082251,2.9450317124735728,0.5890063424947145
VizWiz,gemma3:4b,2,999,87.78778778778779,6.006006006006006,93.7937937937938,6.206206206206207,1.0,0.5
VizWiz,gemma3:4b,3,999,28.82882882882883,10.91091091091091,39.73973973973974,60.26026026026025,1.5729166666666667,0.5243055555555556
VizWiz,gemma3:4b,4,871,43.62801377726751,7.807118254879448,51.43513203214696,48.56486796785304,2.1210526315789475,0.5302631578947369
VizWiz,gemma3:4b,5,693,68.25396825396825,12.40981240981241,80.66378066378066,19.336219336219337,2.8181818181818183,0.5636363636363637
VizWiz,gemma3:27b,2,999,32.932932932932935,52.45245245245245,85.38538538538538,14.614614614614615,1.0,0.5
