Dataset,LLM,Improvement Rate,Degradation Rate,Stability Rate,No Degradation Rate,Successful Evaluations,Improvements,Degradations,No Change,No Degradation
COCO,mistral:7b,42.814221331998,34.101151727591386,23.084626940410615,65.89884827240861,3994,1710,1362,922,2632
COCO,gpt-oss:20b,68.22734101151727,15.84877315973961,15.923885828743115,84.15122684026039,3994,2725,633,636,3361
COCO,gemma3:4b,59.78968452679019,26.765147721582373,13.44516775162744,73.23485227841763,3994,2388,1069,537,2925
COCO,gemma3:27b,54.2313470205308,15.548322483725588,30.220330495743614,84.45167751627442,3994,2166,621,1207,3373
Flickr,mistral:7b,40.558209705808395,40.28161931103847,19.16017098315313,59.718380688961524,3977,1613,1602,762,2375
Flickr,gpt-oss:20b,65.37591149107367,17.299471963791802,17.324616545134525,82.7005280362082,3977,2600,688,689,3289
Flickr,gemma3:4b,65.14961025898918,26.778979129997488,8.071410611013327,73.22102087000252,3977,2591,1065,321,2912
Flickr,gemma3:27b,57.68166960020116,15.916519989942168,26.401810409856672,84.08348001005783,3977,2294,633,1050,3344
VizWiz,mistral:7b,36.09550561797753,42.41573033707865,21.48876404494382,57.58426966292135,3560,1285,1510,765,2050
VizWiz,gpt-oss:20b,58.17415730337079,22.02247191011236,19.803370786516854,77.97752808988764,3560,2071,784,705,2776
VizWiz,gemma3:4b,56.60112359550562,34.241573033707866,9.157303370786517,65.75842696629213,3560,2015,1219,326,2341
VizWiz,gemma3:27b,49.550561797752806,22.078651685393258,28.370786516853936,77.92134831460675,3560,1764,786,1010,2774
